,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,brno,/restaurant/x6fb/yuan-sushi,Maki,Kachní maki (2) S28," 89,00 Kč"
2,brno,/restaurant/x6fb/yuan-sushi,Maki,Kachní maki (2) S28A," 159,00 Kč"
3,brno,/restaurant/x6fb/yuan-sushi,Maki,Avokádové maki (11) S26," 75,00 Kč"
4,brno,/restaurant/x6fb/yuan-sushi,Maki,Avokádové maki (11) S26A," 139,00 Kč"
5,brno,/restaurant/x6fb/yuan-sushi,Maki,Okurkové maki (11) S24," 65,00 Kč"
6,brno,/restaurant/x6fb/yuan-sushi,Maki,Okurkové maki (11) S24A," 119,00 Kč"
7,brno,/restaurant/x6fb/yuan-sushi,Maki,"Pražené krevetové maki (2,11) S22"," 95,00 Kč"
8,brno,/restaurant/x6fb/yuan-sushi,Maki,"Pražené krevetové maki (2,11) S22A"," 179,00 Kč"
9,brno,/restaurant/x6fb/yuan-sushi,Maki,Zeleninové maki (11) S16," 139,00 Kč"
10,brno,/restaurant/x6fb/yuan-sushi,Maki,Zeleninové maki (11) S16A," 249,00 Kč"
11,brno,/restaurant/x6fb/yuan-sushi,Maki,Krabí maki (2) S27," 85,00 Kč"
12,brno,/restaurant/x6fb/yuan-sushi,Maki,Krabí maki (2) S27A," 159,00 Kč"
13,brno,/restaurant/x6fb/yuan-sushi,Maki,Ředkvové maki (11) S25," 69,00 Kč"
14,brno,/restaurant/x6fb/yuan-sushi,Maki,Ředkvové maki (11) S25A," 135,00 Kč"
15,brno,/restaurant/x6fb/yuan-sushi,Maki,Kuřecí maki (11) S23," 79,00 Kč"
16,brno,/restaurant/x6fb/yuan-sushi,Maki,Kuřecí maki (11) S23A," 149,00 Kč"
17,brno,/restaurant/x6fb/yuan-sushi,Maki,Lososové maki (4) S21," 89,00 Kč"
18,brno,/restaurant/x6fb/yuan-sushi,Maki,Lososové maki (4) S21A," 175,00 Kč"
19,brno,/restaurant/x6fb/yuan-sushi,Maki,"California maki (4,11) S17"," 139,00 Kč"
20,brno,/restaurant/x6fb/yuan-sushi,Maki,"California maki (4,11) S17A"," 239,00 Kč"
21,brno,/restaurant/x6fb/yuan-sushi,Maki,Tuňákové maki (4) S6," 95,00 Kč"
22,brno,/restaurant/x6fb/yuan-sushi,Maki,Tuňákové maki (4) S6A," 189,00 Kč"
23,brno,/restaurant/x6fb/yuan-sushi,Maki,Kaviár California Maki (4) S15," 149,00 Kč"
24,brno,/restaurant/x6fb/yuan-sushi,Maki,Kaviár California Maki (4) S15A," 249,00 Kč"
25,brno,/restaurant/x6fb/yuan-sushi,Nigiri,Manugo (4)," 89,00 Kč"
26,brno,/restaurant/x6fb/yuan-sushi,Nigiri,Sake (4)," 79,00 Kč"
27,brno,/restaurant/x6fb/yuan-sushi,Nigiri,"Ebi (2,11)"," 79,00 Kč"
28,brno,/restaurant/x6fb/yuan-sushi,Nigiri,"Tako (11,14)"," 89,00 Kč"
29,brno,/restaurant/x6fb/yuan-sushi,Nigiri,Unagi," 95,00 Kč"
30,brno,/restaurant/x6fb/yuan-sushi,Nigiri,Manugo (4)," 169,00 Kč"
31,brno,/restaurant/x6fb/yuan-sushi,Nigiri,Sake (4)," 149,00 Kč"
32,brno,/restaurant/x6fb/yuan-sushi,Nigiri,"Ebi (2,11)"," 149,00 Kč"
33,brno,/restaurant/x6fb/yuan-sushi,Nigiri,"Tako (11,14)"," 169,00 Kč"
34,brno,/restaurant/x6fb/yuan-sushi,Nigiri,Unagi," 175,00 Kč"
35,brno,/restaurant/x6fb/yuan-sushi,Nigiri,Kachní Nigiri (11)," 229,00 Kč"
36,brno,/restaurant/x6fb/yuan-sushi,Maki sety,"Dary moře (2,4) S20"," 219,00 Kč"
37,brno,/restaurant/x6fb/yuan-sushi,Maki sety,"Svačinové maki (2,4,11) S10"," 199,00 Kč"
38,brno,/restaurant/x6fb/yuan-sushi,Maki sety,Vegetariánské menu (4) S9," 189,00 Kč"
39,brno,/restaurant/x6fb/yuan-sushi,Maki sety,"Party time (4,11) S18"," 169,00 Kč"
40,brno,/restaurant/x6fb/yuan-sushi,Maki sety,"Okvětní lístky Maki (2,11) S29"," 199,00 Kč"
41,brno,/restaurant/x6fb/yuan-sushi,Nigiri sety,"Nigiri (2,4,11,14) S1"," 469,00 Kč"
42,brno,/restaurant/x6fb/yuan-sushi,Nigiri sety,"Nigiri (2,4,11) S19"," 259,00 Kč"
