,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Sladké,Palačinka Borůvka," 69,00 Kč"
2,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Sladké,Palačinka Hruška-Vanilka," 69,00 Kč"
3,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Sladké,Palačinka Jahoda," 69,00 Kč"
4,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Sladké,Palačinka Kanada," 69,00 Kč"
5,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Sladké,Palačinka Malina," 69,00 Kč"
6,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Sladké,Palačinka Meruňka," 69,00 Kč"
7,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Sladké,Palačinka Nutella," 69,00 Kč"
8,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Sladké,Palačinka Ananas-Kiwi," 69,00 Kč"
9,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Slané,Palačinka Hawaii," 99,00 Kč"
10,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Slané,Palačinka Kuřecí," 129,00 Kč"
11,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Slané,Palačinka Slaninová," 109,00 Kč"
12,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Slané,Palačinka Sýrová," 99,00 Kč"
13,ceske_budejovice,/restaurant/w2tx/la-creperie,Palačinky-Slané,Palačinka Špenátová," 99,00 Kč"
14,ceske_budejovice,/restaurant/w2tx/la-creperie,Zmrzliny-Magnum,Magnum Almond," 179,00 Kč"
15,ceske_budejovice,/restaurant/w2tx/la-creperie,Zmrzliny-Magnum,Magnum White Chocolate," 179,00 Kč"
16,ceske_budejovice,/restaurant/w2tx/la-creperie,Zmrzliny-Magnum,Magnum Classic," 179,00 Kč"
17,ceske_budejovice,/restaurant/w2tx/la-creperie,Zmrzliny-Ben&Jerry's,Ben&Jerry's Karamel Sutra Core," 190,00 Kč"
18,ceske_budejovice,/restaurant/w2tx/la-creperie,Zmrzliny-Ben&Jerry's,Ben&Jerry's Vanilla Pecan Blondie," 190,00 Kč"
19,ceske_budejovice,/restaurant/w2tx/la-creperie,Zmrzliny-Ben&Jerry's,Ben&Jerry's Chocolate Fudge Brownie," 190,00 Kč"
20,ceske_budejovice,/restaurant/w2tx/la-creperie,Zmrzliny-Ben&Jerry's,Ben&Jerry's Strawberry Cheesecake," 190,00 Kč"
21,ceske_budejovice,/restaurant/w2tx/la-creperie,Nápoje,Coca-cola 330ml," 30,00 Kč"
22,ceske_budejovice,/restaurant/w2tx/la-creperie,Nápoje,Sprite 330ml," 30,00 Kč"
23,ceske_budejovice,/restaurant/w2tx/la-creperie,Nápoje,Fanta 330ml," 30,00 Kč"
24,ceske_budejovice,/restaurant/w2tx/la-creperie,Nápoje,"Coca-cola 1,75l PET"," 49,00 Kč"
25,ceske_budejovice,/restaurant/w2tx/la-creperie,Nápoje,"Sprite 1,75l PET"," 49,00 Kč"
26,ceske_budejovice,/restaurant/w2tx/la-creperie,Nápoje,"Fanta 1,75l PET"," 49,00 Kč"
27,ceske_budejovice,/restaurant/w2tx/la-creperie,Nápoje,Matonni Jemně perlivá 500ml," 30,00 Kč"
28,ceske_budejovice,/restaurant/w2tx/la-creperie,Nápoje,Matonni Neperlivá 500ml," 30,00 Kč"
29,ceske_budejovice,/restaurant/w2tx/la-creperie,Nápoje,Monster energy drink 500ml," 49,00 Kč"
30,ceske_budejovice,/restaurant/w2tx/la-creperie,Alkoholické nápoje,Somersby Apple 330ml," 45,00 Kč"
31,ceske_budejovice,/restaurant/w2tx/la-creperie,Alkoholické nápoje,Somersby Blackberry 330ml," 45,00 Kč"
32,ceske_budejovice,/restaurant/w2tx/la-creperie,Alkoholické nápoje,Corona beer 330ml," 59,00 Kč"
33,ceske_budejovice,/restaurant/w2tx/la-creperie,Alkoholické nápoje,Gambrinus 10°," 30,00 Kč"
34,ceske_budejovice,/restaurant/w2tx/la-creperie,Alkoholické nápoje,Kozel 11°," 35,00 Kč"
35,ceske_budejovice,/restaurant/w2tx/la-creperie,Alkoholické nápoje,Budvar 12°," 40,00 Kč"
36,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Předkrmy,11. Krevety v tempuře," 89,00 Kč"
37,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Předkrmy,12. Smažené jarní závitky," 75,00 Kč"
38,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Předkrmy,13. Mini závitky," 69,00 Kč"
39,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Předkrmy,22. c) Bun Dau Phu Nam Bo," 139,00 Kč"
40,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Polévky,1. Thajská polévka," 49,00 Kč"
41,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Polévky,2. Kuřecí polévka," 39,00 Kč"
42,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Polévky,3. Pekingská polévka," 49,00 Kč"
43,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Polévky,4. Lososová polévka," 59,00 Kč"
44,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Polévky,5. Krevetová a krabí polévka," 59,00 Kč"
45,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Polévky,6. WAN TAN polévka," 49,00 Kč"
46,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Saláty,7. Kuřecí salát," 69,00 Kč"
47,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Saláty,8. Mangový salát s krevetami," 89,00 Kč"
48,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Saláty,9. Míchaný salát," 69,00 Kč"
49,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Saláty,10. Pikantní salát," 59,00 Kč"
50,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Vietnamské speciality,20. Bun nem," 119,00 Kč"
51,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Vietnamské speciality,21. Bun cha," 139,00 Kč"
52,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Vietnamské speciality,22. a) Bum Bo Nam Bo," 139,00 Kč"
53,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Vietnamské speciality,22. b) Bun Ga Nam Bo," 139,00 Kč"
54,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené nudle,23. a) Se zeleninou," 89,00 Kč"
55,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené nudle,23. b) S kuřecím masem," 109,00 Kč"
56,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené nudle,23. c) S hovězím masem," 119,00 Kč"
57,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené nudle,23. d) S krevetami," 139,00 Kč"
58,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené nudle,23. e) S vepřovým masem," 109,00 Kč"
59,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené rýžové nudle,24. a) Se zeleninou," 89,00 Kč"
60,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené rýžové nudle,24. b) S kuřecím masem," 109,00 Kč"
61,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené rýžové nudle,24. c) S hovězím masem," 119,00 Kč"
62,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené rýžové nudle,24. d) S krevetami," 139,00 Kč"
63,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené rýžové nudle,24. e) S vepřovým masem," 109,00 Kč"
64,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené rýže,25. a) S kuřecím masem," 109,00 Kč"
65,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené rýže,25. b) S hovězím masem," 119,00 Kč"
66,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené rýže,25. c) S krevetami," 139,00 Kč"
67,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Smažené rýže,25. d) S vepřovým masem," 109,00 Kč"
68,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Tofu,26. a) Se zeleninou," 109,00 Kč"
69,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Tofu,26. b) Kungpao," 109,00 Kč"
70,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Tofu,26. c) Tofu na kari," 109,00 Kč"
71,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Kuřecí maso,27. a) Se zeleninou," 119,00 Kč"
72,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Kuřecí maso,27. b) Kungpao," 119,00 Kč"
73,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Kuřecí maso,27. c) S bambusem a houbami," 119,00 Kč"
74,ceske_budejovice,/restaurant/z5cc/an-phat-bistro-wok-and-sushi,Kuřecí maso,27. d) Na kari," 119,00 Kč"
