,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,1a - nudle yi (ji) M," 149,00 Kč"
2,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,1b - rýže M," 149,00 Kč"
3,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,2a - nudle M," 149,00 Kč"
4,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,2b - rýže M," 149,00 Kč"
5,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,3a - nepálivé M," 149,00 Kč"
6,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,3c - pálivé M," 149,00 Kč"
7,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,5 - nudle M," 149,00 Kč"
8,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,7a - nepálivé M," 149,00 Kč"
9,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,7c - pálivé M," 149,00 Kč"
10,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,8 - nudle M," 149,00 Kč"
11,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Normální,9 - thajské nudle M," 149,00 Kč"
12,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Big porce,1a - nudle V," 179,00 Kč"
13,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Big porce,1b - rýže V," 179,00 Kč"
14,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Big porce,2a - nudle V," 179,00 Kč"
15,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Big porce,2b - rýže V," 179,00 Kč"
16,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Big porce,3a nepálivé V," 179,00 Kč"
17,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Big porce,3c - pálivé V," 179,00 Kč"
18,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Big porce,5 - nudle V," 179,00 Kč"
19,hradec_kralove,/restaurant/s5cn/partakovy-nudle-hradec-kralove,Čína - Big porce,7a - nepálivé V," 179,00 Kč"
