,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v tortille,Kebab v tortille classic," 80,00 Kč"
2,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v tortille,Kebab v tortille MEGA," 100,00 Kč"
3,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v tortille,Kebab v tortille jen maso," 120,00 Kč"
4,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v tortille,Kebab v tortille se sýrem," 90,00 Kč"
5,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v tortille,Kebab v tortille vege," 50,00 Kč"
6,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v tortille,Kebab v tortille falafel," 70,00 Kč"
7,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v tortille,Tortilla Halloumi," 70,00 Kč"
8,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v tortille,Tortilla King," 150,00 Kč"
9,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v chlebu,Kebab v chlebu," 80,00 Kč"
10,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v chlebu,Kebab v chlebu mega," 100,00 Kč"
11,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v chlebu,Kebab v chlebu se sýrem," 90,00 Kč"
12,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v chlebu,Kebab v chlebu masový," 120,00 Kč"
13,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v chlebu,Kebab v chlebu vege," 50,00 Kč"
14,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v chlebu,Kebab v chlebu falafel," 70,00 Kč"
15,olomouc,/chain/co1jk/kebab-king-food-1,Kebab v chlebu,Halloumi v chlebu," 70,00 Kč"
16,olomouc,/chain/co1jk/kebab-king-food-1,Kebab talíř king speciál,Kebab talíř king speciál," 130,00 Kč"
17,olomouc,/chain/co1jk/kebab-king-food-1,Kebab talíř,Kebab talíř classic," 115,00 Kč"
18,olomouc,/chain/co1jk/kebab-king-food-1,Kebab talíř,Kebab talíř mega," 130,00 Kč"
19,olomouc,/chain/co1jk/kebab-king-food-1,Vegetariánský salát,Vegetariánský salát," 60,00 Kč"
20,olomouc,/chain/co1jk/kebab-king-food-1,Boxy a saláty,Kuřecí salát," 80,00 Kč"
21,olomouc,/chain/co1jk/kebab-king-food-1,Boxy a saláty,Vege salát," 60,00 Kč"
22,olomouc,/chain/co1jk/kebab-king-food-1,Boxy a saláty,Kebab box classic," 60,00 Kč"
23,olomouc,/chain/co1jk/kebab-king-food-1,Boxy a saláty,Kebab box MEGA," 80,00 Kč"
24,olomouc,/chain/co1jk/kebab-king-food-1,Boxy a saláty,Kebab box JEN MASO A HRANOLKY," 80,00 Kč"
25,olomouc,/chain/co1jk/kebab-king-food-1,Boxy a saláty,Kebab box JEN MASO MEGA A HRANOLKY," 100,00 Kč"
26,olomouc,/chain/co1jk/kebab-king-food-1,Boxy a saláty,Box jen maso ," 130,00 Kč"
27,olomouc,/chain/co1jk/kebab-king-food-1,Boxy a saláty,Box jen maso velky," 170,00 Kč"
28,olomouc,/chain/co1jk/kebab-king-food-1,Hamburger,Hamburger America classic," 100,00 Kč"
29,olomouc,/chain/co1jk/kebab-king-food-1,Hamburger,Hamburger America mega," 170,00 Kč"
30,olomouc,/chain/co1jk/kebab-king-food-1,Hamburger,Hamburger kebab," 70,00 Kč"
31,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 32cm,Pizza margherita 32cm," 90,00 Kč"
32,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 32cm,Pizza salami 32cm," 90,00 Kč"
33,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 32cm,Pizza kebab 32cm," 90,00 Kč"
34,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 32cm,Pizza vege 32cm," 90,00 Kč"
35,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 32cm,Pizza 4 formaggi 32cm," 100,00 Kč"
36,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 32cm,Pizza king 32cm," 120,00 Kč"
37,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 32cm,Krevetova pizza  32cm," 120,00 Kč"
38,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 32cm,Špenátová pizza 32 cm," 90,00 Kč"
39,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 40cm,Pizza margherita 40cm," 120,00 Kč"
40,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 40cm,Pizza salami  40cm," 120,00 Kč"
41,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 40cm,Pizza kebab 40cm," 120,00 Kč"
42,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 40cm,Pizza vege 40cm," 120,00 Kč"
43,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 40cm,Pizza 4 formaggi 40cm," 130,00 Kč"
44,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 40cm,Pizza pizza king 40cm," 160,00 Kč"
45,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 40cm,Krevetova pizza  40cm," 160,00 Kč"
46,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 40cm,Špenátová pizza 40 cm," 120,00 Kč"
47,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 50cm,Pizza sýrová 50cm," 200,00 Kč"
48,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 50cm,Pizza salami 50cm," 200,00 Kč"
49,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 50cm,Pizza kebab 50cm," 200,00 Kč"
50,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 50cm,Pizza vege 50cm," 200,00 Kč"
51,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 50cm,Pizza 4 formaggi 50cm," 210,00 Kč"
52,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 50cm,Pizza pizza king 50cm," 250,00 Kč"
53,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 50cm,Krevetova pizza  50cm," 250,00 Kč"
54,olomouc,/chain/co1jk/kebab-king-food-1,Pizza 50cm,Špenátová pizza 50 cm," 200,00 Kč"
55,olomouc,/restaurant/jt39/riegrovka-beer-2,Pivo PET 1l,11° Riegrovka višeň," 99,00 Kč"
56,olomouc,/restaurant/jt39/riegrovka-beer-2,Pivo PET 1l,11° Riegrovka pomeranč," 99,00 Kč"
57,olomouc,/restaurant/jt39/riegrovka-beer-2,Pivo PET 1l,12% Tmavý ležák Riegrovka," 95,00 Kč"
58,olomouc,/restaurant/jt39/riegrovka-beer-2,Pivo PET 1l,"11° Echt hořká ležák (4,5%)"," 89,00 Kč"
59,olomouc,/restaurant/jt39/riegrovka-beer-2,Pivo PET 1l,14% IPA Riegrovka," 115,00 Kč"
60,olomouc,/restaurant/jt39/riegrovka-beer-2,Pivo PET 1l,12% Polotmavá Riegrovka," 95,00 Kč"
61,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Předkrmy,Onion Bhaji," 75,00 Kč"
62,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Předkrmy,Paneer Pakoras," 95,00 Kč"
63,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Předkrmy,Veg Samosa," 95,00 Kč"
64,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Předkrmy,Chicken Pakora," 90,00 Kč"
65,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Předkrmy,Chilli chicken," 140,00 Kč"
66,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Předkrmy,Papadums," 50,00 Kč"
67,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Předkrmy,Masala Papadums," 55,00 Kč"
68,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Polévky,Palak chicken soup," 65,00 Kč"
69,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Polévky,Dal Soup," 55,00 Kč"
70,olomouc,/restaurant/r2ag/taste-of-india-restaurant,Polévky,Tomato Soup," 55,00 Kč"
