,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,ostrava,/restaurant/l4oe/efa-pizza-nemocnice-fifejdy,EFA Pizza 32cm,Sýrovka," 139,00 Kč"
2,ostrava,/restaurant/l4oe/efa-pizza-nemocnice-fifejdy,EFA Pizza 32cm,Efa pizza," 159,00 Kč"
3,ostrava,/restaurant/l4oe/efa-pizza-nemocnice-fifejdy,EFA Pizza 32cm,Smetánka," 149,00 Kč"
4,ostrava,/restaurant/l4oe/efa-pizza-nemocnice-fifejdy,EFA Pizza 32cm,Havajská," 139,00 Kč"
5,ostrava,/restaurant/l4oe/efa-pizza-nemocnice-fifejdy,EFA Pizza 32cm,Salámová," 149,00 Kč"
6,ostrava,/restaurant/l4oe/efa-pizza-nemocnice-fifejdy,EFA Pizza 32cm,Sýrovka s olivami," 139,00 Kč"
7,ostrava,/restaurant/l4oe/efa-pizza-nemocnice-fifejdy,EFA Pizza 32cm,Šunková s olivami," 139,00 Kč"
8,ostrava,/restaurant/l4oe/efa-pizza-nemocnice-fifejdy,EFA Pizza 32cm,Šunková s kukuřicí," 139,00 Kč"
9,ostrava,/restaurant/l0qd/pivo-z-kovarny-u-hodin,Pivo,2l Radegast 12 tank," 136,00 Kč"
10,ostrava,/restaurant/w0lk/restaurace-palouk,Speciální nabídka,150 g Pastrami sandwich," 180,00 Kč"
11,ostrava,/restaurant/w0lk/restaurace-palouk,Speciální nabídka,150 g Hamburger s trhaným vepřovým masem," 160,00 Kč"
12,ostrava,/restaurant/w0lk/restaurace-palouk,Speciální nabídka,400 g Smažené pikantní kuřecí paličky," 160,00 Kč"
13,ostrava,/restaurant/w0lk/restaurace-palouk,Polévky,Drůbeží vývar s těstovinou," 65,00 Kč"
14,ostrava,/restaurant/w0lk/restaurace-palouk,Hlavní jídla,Palouk burger," 225,00 Kč"
15,ostrava,/restaurant/w0lk/restaurace-palouk,Hlavní jídla,Smažený kuřecí řízek," 190,00 Kč"
16,ostrava,/restaurant/w0lk/restaurace-palouk,Hlavní jídla,Smažený vepřový řízek," 190,00 Kč"
17,ostrava,/restaurant/w0lk/restaurace-palouk,Hlavní jídla,Smažený sýr gouda," 185,00 Kč"
18,ostrava,/restaurant/w0lk/restaurace-palouk,Hlavní jídla,Konfitované kachní stehno," 210,00 Kč"
19,ostrava,/restaurant/w0lk/restaurace-palouk,Hlavní jídla,Kančí ragú," 190,00 Kč"
20,ostrava,/restaurant/w0lk/restaurace-palouk,Hlavní jídla,Kuřecí supreme," 190,00 Kč"
21,ostrava,/restaurant/w0lk/restaurace-palouk,Hlavní jídla,Vídeňský párek v rohlíku," 45,00 Kč"
22,ostrava,/restaurant/w0lk/restaurace-palouk,Hlavní jídla,Naše hranolky," 60,00 Kč"
23,ostrava,/restaurant/b0xw/restaurace-lychee,Polévky,1. Súp gà," 49,00 Kč"
24,ostrava,/restaurant/b0xw/restaurace-lychee,Polévky,2. Súp Vằn Thắn," 59,00 Kč"
25,ostrava,/restaurant/b0xw/restaurace-lychee,Polévky,3. Súp gà thái," 49,00 Kč"
26,ostrava,/restaurant/b0xw/restaurace-lychee,Polévky,4. Súp tôm thái," 59,00 Kč"
27,ostrava,/restaurant/b0xw/restaurace-lychee,Polévky,5. Súp đậu phụ thái," 39,00 Kč"
28,ostrava,/restaurant/b0xw/restaurace-lychee,Saláty,10. Salát xoài tôm," 79,00 Kč"
29,ostrava,/restaurant/b0xw/restaurace-lychee,Saláty,11. Salát gà," 69,00 Kč"
