,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,pardubice,/chain/cl0hy/jacksons-burgers,Jackson's menu,Fresh Chicken Burger Menu," 189,00 Kč"
2,pardubice,/chain/cl0hy/jacksons-burgers,Jackson's menu,Spicy Jalapeňo Chicken Burger Menu," 209,00 Kč"
3,pardubice,/chain/cl0hy/jacksons-burgers,Jackson's menu,BBQ Chicken Burger Menu," 209,00 Kč"
4,pardubice,/chain/cl0hy/jacksons-burgers,Jackson's menu,Chicken Cheeseburger Menu," 219,00 Kč"
5,pardubice,/chain/cl0hy/jacksons-burgers,Burgery,Fresh Chicken Burger," 119,00 Kč"
6,pardubice,/chain/cl0hy/jacksons-burgers,Burgery,Spicy Jalapeňo Chicken Burger," 139,00 Kč"
7,pardubice,/chain/cl0hy/jacksons-burgers,Burgery,BBQ Chicken Burger," 139,00 Kč"
8,pardubice,/chain/cl0hy/jacksons-burgers,Burgery,Chicken Cheeseburger," 149,00 Kč"
9,pardubice,/chain/cl0hy/jacksons-burgers,Kuřecí speciality,Chicken Wings 3 ks," 79,00 Kč"
10,pardubice,/chain/cl0hy/jacksons-burgers,Kuřecí speciality,Chicken Popcorn 200g," 99,00 Kč"
11,pardubice,/chain/cl0hy/jacksons-burgers,Kuřecí speciality,Chicken Wings 6 ks," 119,00 Kč"
12,pardubice,/chain/cl0hy/jacksons-burgers,Přílohy,Hranolky 150g," 49,00 Kč"
13,pardubice,/chain/cl0hy/jacksons-burgers,Přílohy,Cibulové Kroužky 10ks," 59,00 Kč"
14,pardubice,/chain/cl0hy/jacksons-burgers,Přílohy,Batátové Hranolky 150g," 59,00 Kč"
15,pardubice,/chain/cl0hy/jacksons-burgers,Saláty,Zahradní salát," 79,00 Kč"
16,pardubice,/chain/cl0hy/jacksons-burgers,Nápoje,"Tiger energy drink 0,5l plech"," 49,00 Kč"
17,pardubice,/chain/cl0hy/jacksons-burgers,Nápoje,"Coca Cola 0,5l pet"," 39,00 Kč"
18,pardubice,/chain/cl0hy/jacksons-burgers,Nápoje,"Pepsi 0,33l"," 25,00 Kč"
19,pardubice,/chain/cl0hy/jacksons-burgers,Nápoje,"Fanta 0,5l pet"," 39,00 Kč"
20,pardubice,/chain/cl0hy/jacksons-burgers,Nápoje,"Sprite 0,5l pet"," 39,00 Kč"
21,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,Maki set 24ks," 159,00 Kč"
22,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,Maki set 24ks," 189,00 Kč"
23,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,Maki set 24ks," 179,00 Kč"
24,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"8 california krab, losos; 8 maki losos, tuňák"," 179,00 Kč"
25,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"8 california krab, losos; 8 maki zeleninové"," 159,00 Kč"
26,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"4 california krab, sezam; 8 maki losos, tuňák"," 149,00 Kč"
27,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"8 nigiri losos, tuňák, krevetové, krabí"," 209,00 Kč"
28,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"8 maki okurkové, 3 nigiri, 4  california krab"," 190,00 Kč"
29,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"16 maki losos, tuňák; 2 nigiri losos, tuňák"," 209,00 Kč"
30,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"8 Rainbow maki; Losos, Tuňák, Krab, Avokádo"," 169,00 Kč"
31,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"8 California losos, Avokádo, Sezam"," 139,00 Kč"
32,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"8 California tobiko red, krab, okurka, kaviár"," 149,00 Kč"
33,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"8 California krab, avokádo, okurky, sezam"," 139,00 Kč"
34,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,"8 California losos, sezam; 8 California tobiko red"," 199,00 Kč"
35,pardubice,/restaurant/c1rr/asian-rooster-bistro,Sushi menu,Futo maki obalovaná krevety tuňák lososové krab avokado okurky," 189,00 Kč"
36,pardubice,/restaurant/c1rr/asian-rooster-bistro,"Polévka, saláty, závitky",Pikantní polévka," 35,00 Kč"
37,pardubice,/restaurant/c1rr/asian-rooster-bistro,"Polévka, saláty, závitky",Čínský salát," 40,00 Kč"
38,pardubice,/restaurant/c1rr/asian-rooster-bistro,"Polévka, saláty, závitky",Závitky," 49,00 Kč"
39,pardubice,/restaurant/c1rr/asian-rooster-bistro,"Polévka, saláty, závitky",Rýžová polévka s hovězím masem," 119,00 Kč"
40,pardubice,/restaurant/c1rr/asian-rooster-bistro,"Polévka, saláty, závitky",Mini závitky se zeleninoul," 59,00 Kč"
41,pardubice,/restaurant/c1rr/asian-rooster-bistro,"Polévka, saláty, závitky",Obanlované krevetová," 75,00 Kč"
42,pardubice,/restaurant/c1rr/asian-rooster-bistro,"Polévka, saláty, závitky",Polévka Bambusem a houbami s kuřeci," 45,00 Kč"
43,pardubice,/restaurant/c1rr/asian-rooster-bistro,"Polévka, saláty, závitky",Polévka krevety s thajsku," 49,00 Kč"
44,pardubice,/restaurant/c1rr/asian-rooster-bistro,"Polévka, saláty, závitky",Závitky krevety.," 49,00 Kč"
45,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí maso ve sladkokyselé omáčce," 89,00 Kč"
46,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené kuřecí maso s bambusem a houbami," 89,00 Kč"
47,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené kuřecí maso se zeleninou," 89,00 Kč"
48,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí maso na kari," 99,00 Kč"
49,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené obalované kuřecí plátky," 89,00 Kč"
50,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí maso pěti vůní," 89,00 Kč"
51,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí maso po Sečuánsku," 89,00 Kč"
52,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené kuřecí maso se žampiony," 89,00 Kč"
53,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí Kung Pao," 89,00 Kč"
54,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené skleněné nudle s kuřecím masem," 115,00 Kč"
55,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené kuřecí maso s brokolicí," 89,00 Kč"
56,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené kuřecí maso se sezamovou omáčkou," 89,00 Kč"
57,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí nudliky se zeleninou," 95,00 Kč"
58,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené kuřecí játra se zeleninou," 89,00 Kč"
59,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené kuřecí maso po Thajsku," 99,00 Kč"
60,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené kuřecí maso s bambusem a houbami," 99,00 Kč"
61,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí maso na hoisin omáčce," 95,00 Kč"
62,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí kousky s hranolkami," 119,00 Kč"
63,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Grilované kuřecí maso s hranolkami," 119,00 Kč"
64,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené nudle s kuřecím masem," 99,00 Kč"
65,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažené rýžové nudle s kuřecím masem," 115,00 Kč"
66,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Rizoto s kuřecím masem," 95,00 Kč"
67,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažená rýže s míchaným masem," 105,00 Kč"
68,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí gyros," 89,00 Kč"
69,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Kuřecí maso na pekingské omáčce," 95,00 Kč"
70,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažená obanlované kuřeci se zeleninou," 99,00 Kč"
71,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kuřecí maso,Smažená kurecí  maso pikantní se zeleninou," 99,00 Kč"
72,pardubice,/restaurant/c1rr/asian-rooster-bistro,Vepřové maso,Vepřové maso na kari," 99,00 Kč"
73,pardubice,/restaurant/c1rr/asian-rooster-bistro,Vepřové maso,Vepřové maso po Sečuánsku," 99,00 Kč"
74,pardubice,/restaurant/c1rr/asian-rooster-bistro,Vepřové maso,Vepřové Kung Pao," 99,00 Kč"
75,pardubice,/restaurant/c1rr/asian-rooster-bistro,Vepřové maso,Smažené skleněné nudle s vepřovým masem," 125,00 Kč"
76,pardubice,/restaurant/c1rr/asian-rooster-bistro,Vepřové maso,Smažené vepřové maso po Thajsku," 99,00 Kč"
77,pardubice,/restaurant/c1rr/asian-rooster-bistro,Vepřové maso,Smažené vepřové maso s bambusem a houbami," 99,00 Kč"
78,pardubice,/restaurant/c1rr/asian-rooster-bistro,Vepřové maso,Smažené nudle s vepřovým masem," 109,00 Kč"
79,pardubice,/restaurant/c1rr/asian-rooster-bistro,Vepřové maso,Smažené rýžové nudle s vepřovým masem," 115,00 Kč"
80,pardubice,/restaurant/c1rr/asian-rooster-bistro,Vepřové maso,Smažená rýže s gyrosem," 125,00 Kč"
81,pardubice,/restaurant/c1rr/asian-rooster-bistro,Hovězí maso,Hovězí maso po Sečuánsku," 109,00 Kč"
82,pardubice,/restaurant/c1rr/asian-rooster-bistro,Hovězí maso,Hovězí Kung Pao," 109,00 Kč"
83,pardubice,/restaurant/c1rr/asian-rooster-bistro,Hovězí maso,Smažené hovězí maso po Thajsku," 109,00 Kč"
84,pardubice,/restaurant/c1rr/asian-rooster-bistro,Hovězí maso,Smažené hovězí maso s bambusem a houbami," 109,00 Kč"
85,pardubice,/restaurant/c1rr/asian-rooster-bistro,Hovězí maso,Smažené hovězí maso se zeleninou," 109,00 Kč"
86,pardubice,/restaurant/c1rr/asian-rooster-bistro,Hovězí maso,Smažené hovězí maso s cibulí," 109,00 Kč"
87,pardubice,/restaurant/c1rr/asian-rooster-bistro,Hovězí maso,Smažené nudle s hovězím masem," 109,00 Kč"
88,pardubice,/restaurant/c1rr/asian-rooster-bistro,Hovězí maso,Smažené rýžové nudle s hovězím masem," 109,00 Kč"
89,pardubice,/restaurant/c1rr/asian-rooster-bistro,Hovězí maso,Rizoto s hovězím masem," 99,00 Kč"
90,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Smažené skleněné nudle s krevetami," 125,00 Kč"
91,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Krevety v těstíčku s hranolkami," 129,00 Kč"
92,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Smažené nudle s krevetami," 119,00 Kč"
93,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Smažené rýžové nudle s krevetami," 119,00 Kč"
94,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Rizoto s krevetami," 109,00 Kč"
95,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Smažená Krevety kungpao," 109,00 Kč"
96,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Smažená krevety se zeleninou," 109,00 Kč"
97,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Smažená krevety se kari," 109,00 Kč"
98,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Smažená krevety po Sečuánsku," 109,00 Kč"
99,pardubice,/restaurant/c1rr/asian-rooster-bistro,Krevety,Smažená krevety po thajsku," 109,00 Kč"
100,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kachna,Smažená kachna po Sečuánsku," 129,00 Kč"
101,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kachna,Smažená kachna s bambusem a houbami," 129,00 Kč"
102,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kachna,Smažená kachna se zeleninou," 129,00 Kč"
103,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kachna,Kachna v medové omáčce," 129,00 Kč"
104,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kachna,Křehká a voňavá kachna," 129,00 Kč"
105,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kachna,Kachna na plotýnce," 129,00 Kč"
106,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kachna,Smažená kachna pěti vůní s zeleninou," 129,00 Kč"
107,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kachna,Smažená kachna po thajsku," 129,00 Kč"
108,pardubice,/restaurant/c1rr/asian-rooster-bistro,Kachna,Smažená kachna 1/2 po Sečuánsku," 219,00 Kč"
109,pardubice,/restaurant/c1rr/asian-rooster-bistro,Tofu,Smažené tofu se zeleninou," 95,00 Kč"
110,pardubice,/restaurant/c1rr/asian-rooster-bistro,Tofu,Tofu po Sečuánsku," 99,00 Kč"
111,pardubice,/restaurant/c1rr/asian-rooster-bistro,Tofu,Smažené nudle s tofu," 99,00 Kč"
112,pardubice,/restaurant/c1rr/asian-rooster-bistro,Tofu,Smažené rýžové nudle s tofu," 109,00 Kč"
113,pardubice,/restaurant/c1rr/asian-rooster-bistro,Tofu,Smažená tofu po thajsku a rýže," 129,00 Kč"
114,pardubice,/restaurant/c1rr/asian-rooster-bistro,Nigiri,Nigiri lososové," 69,00 Kč"
115,pardubice,/restaurant/c1rr/asian-rooster-bistro,Nigiri,Nigiri tuňákové," 69,00 Kč"
