,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,101.Kachní pekingská polévka," 55,00 Kč"
2,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,102.Pikantní thajská kuřecí polévka," 65,00 Kč"
3,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,103.Kokosová kuřecí thajská polévka," 75,00 Kč"
4,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,104.Krémová kuřecí polévka s houbami," 65,00 Kč"
5,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,105.Krémová lososová polévka s chřestem," 70,00 Kč"
6,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,106.Rybí polévka s úhořem a houbami," 70,00 Kč"
7,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,107.Miso tofu," 55,00 Kč"
8,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,108.Miso sake," 75,00 Kč"
9,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,109.Miso kaisen," 90,00 Kč"
10,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,110.Miso ebi," 75,00 Kč"
11,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,111.Tom yang gung," 80,00 Kč"
12,plzen,/restaurant/i6od/zlaty-drak-plzen,Polévka,112.Kani senjo," 80,00 Kč"
13,plzen,/restaurant/i6od/zlaty-drak-plzen,Saláty,126.Ebi tempura salát," 160,00 Kč"
14,plzen,/restaurant/i6od/zlaty-drak-plzen,Saláty,121.Wakame salát," 99,00 Kč"
15,plzen,/restaurant/i6od/zlaty-drak-plzen,Saláty,127.Tori tempura salát," 140,00 Kč"
16,plzen,/restaurant/i6od/zlaty-drak-plzen,Saláty,122.Sake avokado," 99,00 Kč"
17,plzen,/restaurant/i6od/zlaty-drak-plzen,Saláty,127.Sake tempura salát," 150,00 Kč"
18,plzen,/restaurant/i6od/zlaty-drak-plzen,Saláty,123.Ebi avokádo," 99,00 Kč"
19,plzen,/restaurant/i6od/zlaty-drak-plzen,Saláty,124.Chukawakame," 99,00 Kč"
20,plzen,/restaurant/i6od/zlaty-drak-plzen,Saláty,125.Edamame," 99,00 Kč"
