,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,praha,/restaurant/k8ay/pokehaus-odboru,Ramen,Tan-tan ramen," 285,00 Kč"
2,praha,/restaurant/k8ay/pokehaus-odboru,Ramen,Tonkotsu ramen pork," 285,00 Kč"
3,praha,/restaurant/k8ay/pokehaus-odboru,Ramen,Miso tempeh ramen," 270,00 Kč"
4,praha,/restaurant/k8ay/pokehaus-odboru,Ramen,Tonkotsu ramen chicken," 285,00 Kč"
5,praha,/restaurant/k8ay/pokehaus-odboru,Poke,Salmon L. Jackson," 249,00 Kč"
6,praha,/restaurant/k8ay/pokehaus-odboru,Poke,Tuna Turner," 249,00 Kč"
7,praha,/restaurant/k8ay/pokehaus-odboru,Poke,Pulpo Fiction," 249,00 Kč"
8,praha,/restaurant/k8ay/pokehaus-odboru,Poke,Bart Shrimpson," 249,00 Kč"
9,praha,/restaurant/k8ay/pokehaus-odboru,Poke,Hen Solo," 179,00 Kč"
10,praha,/restaurant/k8ay/pokehaus-odboru,Poke menu,Single burrito," 189,00 Kč"
11,praha,/restaurant/k8ay/pokehaus-odboru,Poke menu,Double burrito," 225,00 Kč"
12,praha,/restaurant/k8ay/pokehaus-odboru,Sestav si poke,Base + protein + mix + sauce + toppings + final touch," 249,00 Kč"
13,praha,/restaurant/k8ay/pokehaus-odboru,Nealkoholické nápoje,Coca-Cola," 39,00 Kč"
14,praha,/restaurant/k8ay/pokehaus-odboru,Nealkoholické nápoje,Coca-Cola Zero," 39,00 Kč"
15,praha,/restaurant/k8ay/pokehaus-odboru,Nealkoholické nápoje,Bohemsca BIO Raspberry," 55,00 Kč"
16,praha,/restaurant/k8ay/pokehaus-odboru,Nealkoholické nápoje,Coconut Water," 65,00 Kč"
17,praha,/restaurant/k8ay/pokehaus-odboru,Nealkoholické nápoje,Ramune Japanese Lemonade," 69,00 Kč"
18,praha,/restaurant/k8ay/pokehaus-odboru,Alkoholické nápoje,Corona," 75,00 Kč"
19,praha,/restaurant/k8ay/pokehaus-odboru,Alkoholické nápoje,Pilsner Urquell," 49,00 Kč"
20,praha,/restaurant/a7jp/restaurace-zakladna,Speciality k pivu,Paprikovo-česnekový bůček," 109,00 Kč"
21,praha,/restaurant/a7jp/restaurace-zakladna,Speciality k pivu,Domácí tlačenka," 119,00 Kč"
22,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,Sekaná v housce," 69,00 Kč"
23,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,Smažený sýr v housce," 89,00 Kč"
24,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,Náš domácí hotdog s roastbeefem," 109,00 Kč"
25,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,Náš domácí hotdog s bůčkem," 109,00 Kč"
26,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,Dej si všechny !," 299,00 Kč"
27,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,Box," 390,00 Kč"
28,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,Smažený sýr," 179,00 Kč"
29,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,Halušky," 179,00 Kč"
30,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,"Svíčková, houskový knedlík"," 189,00 Kč"
31,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,"Hovězí guláš, houskový knedlík"," 189,00 Kč"
32,praha,/restaurant/a7jp/restaurace-zakladna,Speciální menu,"Výpečky, bramborový knedlík"," 189,00 Kč"
33,praha,/restaurant/a7jp/restaurace-zakladna,Přílohy,Vařený brambor," 45,00 Kč"
34,praha,/restaurant/a7jp/restaurace-zakladna,Přílohy,Bramborový knedlík," 45,00 Kč"
35,praha,/restaurant/a7jp/restaurace-zakladna,Přílohy,Bramborový salát," 59,00 Kč"
36,praha,/restaurant/a7jp/restaurace-zakladna,Přílohy,Houskové knedlíky," 45,00 Kč"
37,praha,/restaurant/a7jp/restaurace-zakladna,Přílohy,Dušené kysané zelí," 49,00 Kč"
38,praha,/restaurant/a7jp/restaurace-zakladna,Čepované Pivo,2l  Plzně," 208,00 Kč"
