,city,rest,menu_cat,menu_item,item_price
0,0,0,0,0,0
1,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Smažený holandský řízek , domácí bramborová kaše , okurka"," 109,00 Kč"
2,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Záhorácký závitek , vařené brambory"," 109,00 Kč"
3,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Sýrový špíz , hranolky ,tatarská omáčka "," 129,00 Kč"
4,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Špagety s čerstvým špenátem , trhané vepřové maso , grana padano"," 139,00 Kč"
5,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Jitrnicový preit , vařené brambory, zelí"," 109,00 Kč"
6,usti_nad_labem,/chain/ca0nd/savana,Denní menu,Tagliatelle s kousky lososa a sýrovou omáčkou," 119,00 Kč"
7,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Špagety s cherry rajčátky, slaninou ,jarní cibulkou ,bazalkou a sýrem grana padano"," 109,00 Kč"
8,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Marinovaná vepřová krkovice,fritované česnekovébrambory,česnekový dressing"," 189,00 Kč"
9,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Tortilla s kuřecími stripsy , křupavou zeleninou , česnekovým dresingem"," 139,00 Kč"
10,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Kuřecí plátek se slaninou ,hermelínem a vejcem , hranolky  , sýrová omáčka"," 139,00 Kč"
11,usti_nad_labem,/chain/ca0nd/savana,Denní menu,Penne s kuřecím masem a sýrovou omáčkou z nivy," 169,00 Kč"
12,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Sýrové válečky s chilli , hranolky , tatarská omáčka"," 119,00 Kč"
13,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Trhané vepřové maso , grilovaná zelenina, špenát , vejce"," 159,00 Kč"
14,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Tagliatelle se špenátem,kuřecím masem,slaninou,smetanou,česnekem a vejcem"," 119,00 Kč"
15,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Obalovaná mořská štika , domácí bramborová kaše , citron"," 119,00 Kč"
16,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Řízečkový salát (kuřecí řízečky,zeleninový salát s česnekovým dressingem)"," 139,00 Kč"
17,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Bramborové noky se sýrovou omáčkou , špenátem a kuřecím masem"," 169,00 Kč"
18,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Trhané vepřové maso , hranolky , čerstvý špenát , vejce"," 139,00 Kč"
19,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Vepřový steak,slaninové fazolky,česnekový dressing"," 169,00 Kč"
20,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Kuřecí gyros , hranolky , tatarská omáčka"," 139,00 Kč"
21,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Smažená kuřecí kapsa (slanina,špenát,hermelín)fritované brambory,tatarská omáčka"," 129,00 Kč"
22,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Kuřecí Gordon Bleu, hranolky,tatarská omáčka,zeleninová obloha"," 169,00 Kč"
23,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Hamburger s trhaným vepřovým masíčkem (čerstvý špenát,vajíčko,barbecue omáčka,cibulka,hořčice)hranolky,česnekový dressing"," 189,00 Kč"
24,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Smažený květák , vařené brambory , tatarská omáčka"," 109,00 Kč"
25,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Tortilla plněná grilovaným kuřecím masem, křupavá zelenina,česnekový dressing"," 139,00 Kč"
26,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Plněné bramborové knedlíky s uzeným masem,zelí,cibulka"," 109,00 Kč"
27,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Dětský kuřecí řízek , hranolky , kečup"," 119,00 Kč"
28,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Dětské kuřecí safari , hranolky, kečup"," 119,00 Kč"
29,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Šopský salát (rajčata , okurka , paprika , balkánský sýr)"," 109,00 Kč"
30,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Řecký salát (rajčata , okurka , paprika , balkánský sýr , olivy )"," 109,00 Kč"
31,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Sýroví dinosauři , hranolky , kečup"," 119,00 Kč"
32,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Smažený vepřový řízek , vařené brambory, okurka"," 159,00 Kč"
33,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Smažený sýr , hranolky , tatarská omáčka"," 159,00 Kč"
34,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Kynuté borůvkové knedlíky , kysaná smetana , máslo , cukr"," 109,00 Kč"
35,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Smažený kuřecí řízek , hranolky , tatarská omáčka"," 159,00 Kč"
36,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Smažená vepřová kapsa (šunka,hermelín) ,vařený brambor ,domácí tatarská omáčka"," 119,00 Kč"
37,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Pečená kuřecí roláda (špenátová,rajčatová,masová)domácí bramborová kaše"," 119,00 Kč"
38,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Smažený vepřový řízek , domácí bramborová kaše , okurka"," 109,00 Kč"
39,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Smažený kuřecí řízek , domácí bramborová kaše , okurka"," 109,00 Kč"
40,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Rajská omáčka s hovězím masem , kolínka"," 109,00 Kč"
41,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Pečené kuřecí stehno na másle , domácí bramborová kaše"," 109,00 Kč"
42,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Rajská omáčka s hovězím masem , houskový knedlík"," 109,00 Kč"
43,usti_nad_labem,/chain/ca0nd/savana,Denní menu,"Kuřecí plátek s brokolicí , sýrová omáčka , fritované brambory"," 109,00 Kč"
44,usti_nad_labem,/chain/ca0nd/savana,Denní menu,Staročeská zelnačka s klobásou," 109,00 Kč"
45,usti_nad_labem,/chain/ca0nd/savana,Těstoviny - špagety,Špagety s česnekem a sýrem," 119,00 Kč"
46,usti_nad_labem,/chain/ca0nd/savana,Těstoviny - špagety,"Špagety se slaninou , vajíčkem a smetanou"," 139,00 Kč"
47,usti_nad_labem,/chain/ca0nd/savana,Těstoviny - špagety,"Špagety s chilli papričkama , slaninou a sýrem"," 139,00 Kč"
48,usti_nad_labem,/chain/ca0nd/savana,Těstoviny - špagety,Penne s kuřecím masem a nivou," 139,00 Kč"
49,usti_nad_labem,/chain/ca0nd/savana,Gnocchi,Bramborové noky s kuřecím masem a listovým špenátem," 139,00 Kč"
50,usti_nad_labem,/chain/ca0nd/savana,Gnocchi,Bramborové noky se sýrovo-smetanovou omáčkou," 149,00 Kč"
51,usti_nad_labem,/chain/ca0nd/savana,Dětská jídla,"Kuřecí safari, hranolky, kečup (1,3,7)"," 99,00 Kč"
52,usti_nad_labem,/chain/ca0nd/savana,Dětská jídla,"Dětský kuřecí řízek + příloha dle výběru (1,3,7)"," 99,00 Kč"
53,usti_nad_labem,/chain/ca0nd/savana,Sladká jídla,"Borůvkové knedlíky (1,3,7)"," 99,00 Kč"
54,usti_nad_labem,/chain/ca0nd/savana,Sladká jídla,"Meruňkové knedlíky (1,3,7)"," 99,00 Kč"
55,usti_nad_labem,/chain/ca0nd/savana,Sladká jídla,"Plněné taštičky jahodami , sypané cukrem a maštěné máslem"," 99,00 Kč"
56,usti_nad_labem,/chain/ca0nd/savana,Smažená jídla,"Kuřecí řízek , hranolky , tatarská omáčka"," 159,00 Kč"
57,usti_nad_labem,/chain/ca0nd/savana,Smažená jídla,"Smažený sýr, hranolky, tatarská omáčka"," 159,00 Kč"
58,usti_nad_labem,/chain/ca0nd/savana,Smažená jídla,"Smažený hermelín , vařené brambory, tatarská omáčka"," 129,00 Kč"
59,usti_nad_labem,/chain/ca0nd/savana,Smažená jídla,"Smažené žampiony , vařené brambory , tatarská omáčka"," 129,00 Kč"
60,usti_nad_labem,/chain/ca0nd/savana,Smažená jídla,"Dětské Sýrové dinosauři , hranolky , kečup"," 109,00 Kč"
61,usti_nad_labem,/chain/ca0nd/savana,Přílohy a dippy,Hranolky," 39,00 Kč"
62,usti_nad_labem,/chain/ca0nd/savana,Přílohy a dippy,Hranolky steakové," 39,00 Kč"
63,usti_nad_labem,/chain/ca0nd/savana,Přílohy a dippy,Krokety," 39,00 Kč"
64,usti_nad_labem,/chain/ca0nd/savana,Přílohy a dippy,Americký brambory," 39,00 Kč"
65,usti_nad_labem,/chain/ca0nd/savana,Přílohy a dippy,Opečené brambory," 35,00 Kč"
